Ion	A	a	B	b	C	c	D   e
Co	0.4139	16.162	0.6013	4.780	-0.1518	0.021	0.1345	0.1033
Co+	0.0990	33.125	0.3645	15.177	0.5470	5.008	-0.0109	0.0983
Co2+	0.4332	14.355	0.5857	4.608	-0.0382	0.134	0.0179	0.0711
Co3+	0.3902	12.508	0.6324	4.457	-0.1500	0.034	0.1272	0.0515
Co4+	0.3515	10.778	0.6778	4.234	-0.0389	0.241	0.0098	0.0390
Ni	-0.0172	35.739	0.3174	14.269	0.7136	4.566	-0.0143	0.1072
Ni+	0.0705	35.856	0.3984	13.804	0.5427	4.397	-0.0118	0.0738
Ni2+	0.0163	35.883	0.3916	13.223	0.6052	4.339	-0.0133	0.0817
Ni3+	0.0012	35.000	0.3468	11.987	0.6667	4.252	-0.0148	0.0883
Ni4+	-0.0090	35.861	0.2776	11.790	0.7474	4.201	-0.0163	0.0966
Cu	0.0909	34.984	0.4088	11.443	0.5128	3.825	-0.0124	0.0513
Cu+	0.0749	34.966	0.4147	11.764	0.5238	3.850	-0.0127	0.0591
Cu2+	0.0232	34.969	0.4023	11.564	0.5882	3.843	-0.0137	0.0532
Cu3+	0.0031	34.907	0.3582	10.914	0.6531	3.828	-0.0147	0.0665
Cu4+	-0.0132	30.682	0.2801	11.163	0.7490	3.817	-0.0165	0.0767
Y	0.5915	67.608	1.5123	17.900	-1.1130	14.136	0.0080	0.3272
Zr	0.4106	59.996	1.0543	18.648	-0.4751	10.540	0.0106	0.3667
Zr+	0.4532	59.595	0.7834	21.436	-0.2451	9.036	0.0098	0.3639
Nb	0.3946	49.230	1.3197	14.822	-0.7269	9.616	0.0129	0.3659
Nb+	0.4572	49.918	1.0274	15.726	-0.4962	9.157	0.0118	0.3403
Mo	0.1806	49.057	1.2306	14.786	-0.4268	6.987	0.0171	0.4135
Mo+	0.3500	48.035	1.0305	15.060	-0.3929	7.479	0.0139	0.3510
Tc	0.1298	49.661	1.1656	14.131	-0.3134	5.513	0.0195	0.3869
Tc+	0.2674	48.957	0.9569	15.141	-0.2387	5.458	0.0160	0.3412
Ru	0.1069	49.424	1.1912	12.742	-0.3176	4.912	0.0213	0.3597
Ru+	0.4410	33.309	1.4775	9.553	-0.9361	6.722	0.0176	0.2608
Rh	0.0976	49.882	1.1601	11.831	-0.2789	4.127	0.0234	0.3263
Rh+	0.3342	29.756	1.2209	9.438	-0.5755	5.332	0.0210	0.2574
Pd	0.2003	29.363	1.1446	9.599	-0.3689	4.042	0.0251	0.2453
Pd+	0.5033	24.504	1.9982	6.908	-1.5240	5.513	0.0213	0.1909
Ce2+	0.2953	17.685	0.2923	6.733	0.4313	5.383	-0.0194	0.0845
Nd2+	0.1645	25.045	0.2522	11.978	0.6012	4.946	-0.0180	0.0668
Nd3+	0.0540	25.029	0.3101	12.102	0.6575	4.722	-0.0216	0.0478
Sm2+	0.0909	25.203	0.3037	11.856	0.6250	4.237	-0.0200	0.0408
Sm3+	0.0288	25.207	0.2973	11.831	0.6954	4.212	-0.0213	0.0510
Eu2+	0.0755	25.296	0.3001	11.599	0.6438	4.025	-0.0196	0.0488
Eu3+	0.0204	25.308	0.3010	11.474	0.7005	3.942	-0.0220	0.0356
Gd2+	0.0636	25.382	0.3033	11.212	0.6528	3.788	-0.0199	0.0486
Gd3+	0.0186	25.387	0.2895	11.142	0.7135	3.752	-0.0217	0.0489
Tb2+	0.0547	25.509	0.3171	10.591	0.6490	3.517	-0.0212	0.0342
Tb3+	0.0177	25.510	0.2921	10.577	0.7133	3.512	-0.0231	0.0512
Dy2+	0.1308	18.316	0.3118	7.665	0.5795	3.147	-0.0226	0.0315
Dy3+	0.1157	15.073	0.3270	6.799	0.5821	3.020	-0.0249	0.0146
Ho2+	0.0995	18.176	0.3305	7.856	0.5921	2.980	-0.0230	0.1240
Ho3+	0.0566	18.318	0.3365	7.688	0.6317	2.943	-0.0248	0.0068
Er2+	0.1122	18.122	0.3462	6.911	0.5649	2.761	-0.0235	0.0207
Er3+	0.0586	17.980	0.3540	7.096	0.6126	2.748	-0.0251	0.0171
Tm2+	0.0983	18.324	0.3380	6.918	0.5875	2.662	-0.0241	0.0404
Tm3+	0.0581	15.092	0.2787	7.801	0.6854	2.793	-0.0224	0.0351
Yb2+	0.0855	18.512	0.2943	7.373	0.6412	2.678	-0.0213	0.0421
Yb3+	0.0416	16.095	0.2849	7.834	0.6961	2.672	-0.0229	0.0344
